family,mesh,c,M,n_k,n_occ,n_vir,xo_op,xv_op,xo_2inf,xv_2inf,w_op_max,w_fro_max,w_l1_mean,alpha_lcu_dir,alpha_lcu_exch,alpha_lcu_exch_max,max_Q_S_Q,alpha_embed_op,alpha_embed_fro,alpha_embed_l1,alpha_embed_op_mod,alpha_embed_op_2inf,alpha_embed_l1_2inf,exch_over_dir,q_concentration,k_participation,dft_pkl
ISDFfull_bareGDF,4x4x4,8,208,64,4,22,2.068521781,4.380852744,0.436479575,2.30746814,74.49639103,77.93981845,5184.358974,104.5184473,5149.335621,152.4900697,9759.364459,6117.482576,6400.249391,425728.3508,1697.175903,75.56740556,5258.893105,49.2672,1.89527,0.769801,DFT_4x4x4.pkl
ISDFfull_bareGDF,4x4x4,24,624,64,4,22,3.224806576,5.507808045,0.436479575,2.432536343,16.97920236,56.50643266,9106.391281,167.8207545,8254.220951,353.2202752,22606.09761,5356.513674,17826.36621,2872838.687,1044.824387,19.14096419,10265.80081,49.1847,2.73873,0.768512,DFT_4x4x4.pkl
ISDFfull_bareGDF,5x5x5,5,130,125,4,22,1.767179451,4.03851754,0.4380149361,2.322429296,193.8967858,194.9733034,4178.978901,96.94060964,9316.038134,228.0223246,28502.79057,9875.881327,9930.712353,212850.8707,3266.005549,200.6473612,4324.471317,96.1005,3.05954,0.768804,DFT_5x5x5.pkl
ISDFfull_bareGDF,5x5x5,6,156,125,4,22,1.851644406,4.044511868,0.4380149361,2.322429296,141.8525744,143.4453002,4190.452965,84.89461827,8172.20357,188.0229173,23502.86466,7955.814067,8045.142233,235021.9218,2623.236213,146.7912147,4336.344854,96.2629,2.87595,0.770103,DFT_5x5x5.pkl
ISDFfull_bareGDF,5x5x5,8,208,125,4,22,2.067996888,4.120657857,0.4380149361,2.322429296,117.0212848,118.820148,5752.510653,110.6237671,10563.9823,219.584801,27448.10012,8497.628409,8628.254827,417724.844,2699.290501,121.0954163,5952.786054,95.4947,2.59827,0.763958,DFT_5x5x5.pkl
ISDFfull_bareGDF,5x5x5,24,624,125,4,22,3.212413433,5.594045451,0.4380149361,2.443362248,24.31591047,34.08164192,4432.736461,84.86738917,8144.817541,229.293843,28661.73037,7852.453683,11006.14822,1431484.862,1498.0597,27.8512117,5077.214021,95.9711,3.51901,0.767769,DFT_5x5x5.pkl
ISDFfull_bareGDF,6x6x6,5,130,216,4,22,1.779938641,4.082701175,0.4366075139,2.31568129,293.2458404,294.1089995,4494.699295,101.9392025,16897.42624,301.5535941,65135.57632,15485.92355,15531.50583,237359.103,4981.951513,299.7587333,4594.525077,165.76,3.85476,0.767407,DFT_6x6x6.pkl
ISDFfull_bareGDF,6x6x6,6,156,216,4,22,1.848159633,4.360307709,0.4366075139,2.31568129,168.7996776,169.594421,3601.168121,76.56718252,12638.1117,229.6835052,49611.63713,10961.87514,11013.48589,233860.3713,3091.776889,172.5486625,3681.148871,165.059,3.92556,0.764163,DFT_6x6x6.pkl
ISDFfull_bareGDF,6x6x6,8,208,216,4,22,2.068707634,4.402690691,0.4366075139,2.31568129,179.3083275,181.3301371,6718.785059,134.8466325,22197.0089,349.4559886,75482.49354,14874.2489,15041.96503,557346.57,4114.871401,183.290706,6868.007048,164.609,3.40057,0.76208,DFT_6x6x6.pkl
ISDFfull_bareGDF,6x6x6,24,624,216,4,22,3.225620918,5.527786605,0.4366075139,2.432611088,37.54258059,110.662155,8817.521534,164.2280725,27042.84799,687.1802902,148430.9427,11935.84894,35182.63115,2803339.659,2311.511931,42.34985199,9946.592002,164.666,5.48873,0.762345,DFT_6x6x6.pkl
ISDFfull_screenGDF,2x2x2,5,130,8,4,22,1.741258031,4.338315058,0.4365319631,2.023916955,17.97389843,26.80227664,1438.991141,33.72691766,213.6102665,29.08808529,232.7046823,1025.677255,1529.467056,82115.76848,223.2307022,14.0300674,1123.247846,6.33352,1.08939,0.791691,DFT_2x2x2.pkl
